,label,indices
7,Mathematical calculation and numerical reasoning,[]
10,Mathematical constraint reasoning,[]
14,Code assignment operations in mathematical contexts,[]
27,Numbers written on physical objects in problem statements,[]
41,Beginning of LaTeX mathematical expressions,"[969, 796, 1365, 1623, 1422, 879, 1166, 1322, 1438, 1341]"
65,Mathematical variable tokens in problem-solving contexts,[]
67,Mathematical calculation and problem-solving,[]
70,Mathematical expressions and notation,[]
80,Mathematical expressions and notation,[]
118,mathematical notation and calculus operations,[]
125,Computational geometry and mathematical problem-solving,[]
142,Mathematical equation processing,[]
146,Mathematical operations and syntax in programming,[]
155,Mathematical problem solving,[]
163,Mathematical operations that equal zero,[]
171,Mathematical calculation and algebraic reasoning,[]
176,Small integers and numerical values in computational contexts,[]
195,Mathematical expressions and arithmetic operations in code,[]
201,Mathematical expressions and operations,[]
202,Mathematical and algorithmic reasoning about numbers,[]
216,Mathematical problem-solving tasks,[]
223,small number words in mathematical reasoning,[]
261,mathematical problem-solving reasoning,[]
280,Step-by-step explanations of mathematical and logical concepts,[]
288,Explanatory reasoning in mathematical and computational problem-solving,[]
310,Mathematical operations in programming,[]
322,Solving mathematical optimization problems,[]
324,Mathematical expressions and algebraic operations,[]
327,Mathematical spatial reasoning,[]
328,"Mathematical operations, particularly subtraction",[]
353,Variable names in mathematical contexts,[]
390,Definition or explanation of a concept,[]
421,Mathematical reasoning with alternating signs,[]
425,Mathematical addition operations,[]
435,Mathematical equations in programming problems,[]
439,is in mathematical explanations,[]
452,Mathematical ratios and division operations,[]
458,Mathematical and algorithmic reasoning with variables,[]
464,Mathematical problem solving,[]
473,Mathematical reasoning and pattern recognition,[]
481,Mathematical formula derivation and pattern recognition,[]
482,Mathematical notation and formalism,[]
483,Mathematical and graphical transformations,[]
488,Mathematical problem reference term,[]
545,Mathematical problem-solving content,[]
547,mathematical solutions and valid answers to equations,[]
556,Mathematical problem-solving and algorithm development,[]
568,Numbers in programming problem solutions,[]
572,Mathematical computation and arithmetic operations,[]
573,Problem statement identification,[]
591,Ratio concepts and proportional relationships,[]
594,Problem constraints and requirements in mathematical contexts,[]
606,Array or sequence introduction in mathematical context,[]
615,The number 3 and three-element mathematical structures,[]
625,Mathematical calculation error detection,[]
626,Small integers in programming and mathematical contexts,[]
635,Mathematical ratios and proportional relationships,[]
646,Mathematical reasoning with fractions and ratios,[]
650,Positive numerical quantities in mathematics,[]
651,Problem-solving reasoning in algorithmic and mathematical contexts,[]
658,Division operations in mathematical contexts,[]
661,Numerical values in programming contexts,[]
665,Mathematical optimization problems,[]
707,Fundamental concepts in discrete mathematics and algorithms,[]
718,Mathematical variables in equations and formulas,[]
730,Solution explanation in programming and mathematical problems,[]
746,Two variables or integers in mathematical problems,[]
753,Mathematical notation in programming problems,[]
762,Mathematical technique limitations or inapplicability,[]
770,Beginning of mathematical/programming problem statements,[]
779,Mathematical operations in algorithms,[]
787,Algorithm and problem-solving explanations,[]
803,Mathematical and algorithmic reasoning steps,[]
807,relationships between elements in mathematical or logical structures,[]
825,Mathematical problem-solving and algorithmic reasoning,[]
829,Odd number detection in mathematical problems,[]
836,Mathematical variables in algorithmic reasoning,[]
842,Algorithmic solution explanation in code,[]
843,Mathematical reasoning about sums and differences,[]
845,"Mathematical expressions and calculations, especially subtraction operations",[]
852,Algorithm explanation and problem-solving,[]
860,Relational conjunctions in mathematical and spatial contexts,[]
914,Algorithm explanation and computational reasoning,[]
919,Algorithm explanation and optimization techniques,[]
926,Efficient computation of mathematical values,[]
942,Mathematical relationships and comparisons,[]
950,Identifying mathematical formulas,[]
967,Programming concept explanations,[]
981,Mathematical calculation steps,[]
982,Algorithm explanation and implementation,[]
986,Mathematical and algorithmic problem-solving,[]
1008,Mathematical and programming variables,[]
1027,Mathematical calculation and formula application,[]
1037,Solution validity in mathematical problem-solving,[]
1043,Mathematical problem statements requiring numerical answers,[]
1059,The number 2 in mathematical expressions,[]
1071,geometric objects and structures,[]
1073,Mathematical operations in programming code,[]
1078,Second variable or value in mathematical contexts,[]
1108,Game-winning strategies in mathematical games,[]
1119,Multiplication by two or doubling in mathematical contexts,[]
1120,Mathematical notation and expressions,[]
1131,mathematical sets and collections,[]
1147,Mathematical calculation and reasoning,[]
1152,Mathematical problem-solving explanations,[]
1161,Mathematical and algorithmic problem solving,[]
1165,Additional quantities or elements in mathematical contexts,[]
1173,Mathematical operations and constraints,[]
1198,Mathematical optimization problems,[]
1208,Squared mathematical quantities,[]
1218,"Mathematical operations, particularly subtraction",[]
1221,Mathematical problem-solving,[]
1242,Mathematical conditions and relationships,[]
1257,mathematical reasoning and relationship analysis,[]
1270,Mathematical addition and algebraic relationships,[]
1292,Mathematical notation in programming problems,[]
1296,Mathematical calculations and expressions,[]
1302,Numbers in mathematical calculations,[]
1318,Formal mathematical problem descriptions involving sequences and arrays,[]
1348,The number 3 in mathematical contexts,[]
1356,Line splitting and mathematical reasoning,[]
1360,Explaining algorithmic solutions involving counting or calculation,[]
1361,Geometric and spatial relationships,[]
1368,Mathematical expressions and formulas,[]
1397,Mathematical and algorithmic explanations,[]
1426,Constraint and requirement relationships in mathematical contexts,[]
1428,Mathematical reasoning,[]
1434,Mathematical notation and symbols in problem-solving contexts,[]
1446,Mathematical subtraction operations,[]
1447,Computation or determination methods in technical contexts,[]
1452,Detailed algorithmic problem-solving explanations,[]
1463,Mathematical operations and equations,[]
1472,Mathematical and numerical reasoning,[]
1487,Mathematical reasoning and numerical processing,[]
1491,Connections between points in geometric contexts,[]
1498,Mathematical reasoning and step-by-step problem solving,[]
1499,Analytical reasoning and problem-solving,[]
1522,Mathematical operations and arithmetic symbols,[]
1525,Mathematical variables and placeholders,[]
1543,Algorithm explanation in programming solutions,[]
1558,Mathematical problem-solving tasks requiring numerical answers,[]
1585,Mathematical operators and variables in equations,"[608, 609, 1316, 2977, 1728, 1459, 5419, 4144, 7184, 1305]"
1590,The number 1 in code and mathematical contexts,"[428, 5178, 5897, 478, 10414, 3189, 5668, 3138, 15808, 7495]"
1591,Algorithmic problem-solving approach explanation,"[723, 1667, 1055, 2416, 722, 1122, 1692, 1349, 497, 1932]"
1600,Variable names in mathematical and algorithmic reasoning,"[1353, 4674, 2674, 2624, 2516, 2745, 5847, 5532, 8332, 10153]"
1601,Mathematical variables in algorithmic contexts,"[10274, 1874, 4335, 1130, 5171, 10771, 8876, 10795, 2412, 11695]"
1604,Algorithms and mathematical problem-solving,"[91, 79, 284, 3206, 75, 58, 81, 317, 217, 161]"
1619,Detailed algorithm explanation for complex problems,"[9256, 242, 1883, 4034, 8775, 8475, 2276, 802, 4423, 11557]"
1659,Mathematical optimization and minimum value determination,"[780, 6194, 202, 2595, 5079, 4725, 2383, 1024, 1725, 86]"
1660,End of formal programming problem explanation,"[6587, 2699, 7678, 2991, 4323, 3065, 4998, 7780, 2584, 2297]"
1676,Mathematical reasoning about factorials and numerical calculations,"[1663, 8068, 6622, 10483, 5863, 2273, 7780, 1487, 4008, 1571]"
1680,Mathematical variable usage in algorithms,"[1596, 1480, 1647, 1714, 1708, 11112, 4332, 1448, 2808, 5797]"
1692,Algorithmic problem-solving explanations,"[65, 64, 64, 65, 1235, 500, 8, 106, 17, 324]"
1693,Mathematical concepts and specialized terminology,"[1563, 1572, 5132, 2022, 8624, 3520, 1752, 4880, 6070, 4788]"
1737,Mathematical addition operations,"[3826, 4458, 3016, 2004, 3339, 2732, 6835, 1996, 10878, 2001]"
1738,Numbers and coordinates in mathematical contexts,"[22222, 21282, 14565, 15155, 13203, 6412, 4311, 9773, 2051, 513]"
1740,Algorithmic problem-solving explanations,"[10834, 8501, 1775, 8192, 9137, 4872, 13495, 3267, 3121, 6159]"
1742,Variable assignment and mathematical operations in code explanations,"[11386, 13781, 20451, 16375, 12654, 13444, 13615, 15509, 6815, 14291]"
1747,Explaining algorithmic solutions to computational problems,"[12627, 7608, 1758, 934, 12611, 8166, 8114, 6723, 5106, 3829]"
1753,Addition operations in programming and mathematics,"[1554, 1391, 5016, 1147, 1556, 5791, 9344, 5642, 1149, 2889]"
1757,Mathematical problem variables and relationships,"[2647, 1165, 868, 826, 659, 421, 1298, 656, 1350, 917]"
1789,Mathematical notation and algebraic expressions,"[2119, 514, 2146, 1469, 7006, 2908, 716, 1877, 1063, 6721]"
1790,Mathematical problem-solving reasoning,"[2274, 6551, 10729, 8239, 2798, 3921, 9629, 9324, 6418, 5140]"
1796,Mathematical assignment operations in programming contexts,"[6341, 8531, 6005, 3290, 1994, 2394, 2560, 3494, 7469, 5352]"
1820,Mathematical calculation results,"[9660, 1620, 2977, 2202, 2937, 1584, 1998, 2627, 821, 2737]"
1821,Algorithmic reasoning and problem-solving in computational mathematics,"[7606, 4363, 6907, 65, 7495, 10035, 3786, 82, 85, 13649]"
1833,Mathematical reasoning and equation manipulation,"[8020, 4665, 4524, 4446, 6943, 6944, 4666, 378, 4833, 1820]"
1837,Mathematical problem-solving with geometric reasoning,"[45, 44, 221, 45, 1916, 2288, 90, 2014, 571, 55]"
1851,Coding problem solving with mathematical explanations,"[15371, 20181, 14917, 17276, 12671, 16520, 11607, 19925, 13401, 9442]"
1856,Mathematical reasoning about hypothetical cases and possibilities,"[3270, 15896, 7874, 10098, 1824, 1896, 2816, 795, 1600, 2417]"
1864,Mathematical expressions and algebraic reasoning,"[5095, 8309, 7770, 343, 703, 1523, 6537, 7031, 2845, 4347]"
1878,Mathematical calculations and numerical sequences,"[9231, 2217, 2477, 7911, 1905, 1921, 1828, 2361, 938, 1568]"
1888,Mathematical equality and algorithmic result explanation,"[3289, 696, 695, 4164, 3288, 2621, 6536, 2266, 860, 1073]"
1898,Mathematical reasoning and algorithmic logic,"[5658, 15511, 6491, 8422, 2820, 3689, 9949, 1511, 2712, 9867]"
1911,Numbers in mathematical contexts,"[13739, 1752, 1667, 4046, 8658, 925, 4490, 4408, 1751, 3951]"
1920,Algorithm explanation and implementation,"[10878, 8687, 10877, 7422, 916, 9435, 8688, 6538, 2239, 3794]"
1946,Mathematical reasoning and calculation steps,"[2936, 2245, 2504, 1952, 5242, 1653, 2451, 2051, 3852, 1507]"
1955,Sequences of numbers in mathematical contexts,"[906, 8655, 579, 7492, 4312, 395, 3339, 308, 3927, 1099]"
1957,Variable names in mathematical or algorithmic explanations,"[1429, 5992, 10777, 6134, 8518, 7905, 5453, 5898, 2050, 4496]"
1962,Numbers in programming problem inputs,"[7886, 12851, 5388, 10770, 1648, 2110, 18814, 1048, 2283, 4748]"
1964,Mathematical definition and notation introduction,"[524, 2105, 3289, 6684, 2517, 1681, 895, 510, 1241, 658]"
2020,Mathematical relationships between variables,"[857, 6843, 1284, 1283, 2916, 11342, 972, 886, 997, 2980]"
2041,Mathematical calculations and expressions,"[9331, 15743, 4989, 7998, 6743, 1662, 9199, 9238, 11200, 11555]"
2056,Mathematical expressions and algebraic manipulations,"[6538, 17638, 4131, 17708, 12336, 2168, 17500, 10036, 6866, 4066]"
2060,Mathematical reasoning with numbers and variables,"[1863, 2315, 3641, 1284, 14074, 6571, 2648, 3428, 1655, 9727]"
2091,Mathematical problem-solving reasoning,"[510, 12753, 2130, 11345, 2863, 1096, 8355, 4858, 272, 2395]"
2101,Algorithm indexing and mathematical operations,"[791, 11801, 881, 7148, 2388, 4894, 3923, 2508, 6806, 1431]"
2141,Explaining programming problems and algorithms,"[4236, 8207, 8321, 4258, 4248, 10727, 3814, 4258, 11567, 8713]"
2149,Mathematical notation and expressions,"[183, 183, 2445, 4257, 49, 49, 184, 15033, 173, 184]"
2152,Technical problem-solving explanations,"[3186, 5386, 988, 966, 2349, 2154, 1479, 1627, 3985, 5351]"
2171,The model wants to solve a computational problem,"[12041, 2426, 13637, 3515, 2643, 6536, 8832, 4764, 467, 8257]"
2175,Mathematical reasoning transitions and conclusions,"[1874, 3620, 1990, 6683, 5600, 2725, 1946, 1717, 1076, 1372]"
2207,Sets and collections of mathematical elements,"[179, 9114, 191, 228, 175, 237, 762, 251, 1110, 1345]"
